axis,epoch,train_loss,val_loss,val_acc,val_auc,val_prec,val_rec,val_f1
X,1,0.362142,0.315993,0.460177,0.586338,1.000000,0.016129,0.031746
X,2,0.281407,0.285985,0.548673,0.587919,0.590164,0.580645,0.585366
X,3,0.255484,0.234439,0.584071,0.622707,0.619048,0.629032,0.624000
X,4,0.204959,0.224219,0.575221,0.569576,0.597222,0.693548,0.641791
X,5,0.209335,0.212901,0.584071,0.635041,0.647059,0.532258,0.584071
X,6,0.195662,0.224667,0.628319,0.643264,0.647059,0.709677,0.676923
X,7,0.187669,0.211847,0.619469,0.626186,0.637681,0.709677,0.671756
X,8,0.185564,0.216182,0.601770,0.620810,0.616438,0.725806,0.666667
Y,1,0.341921,0.295126,0.504425,0.654649,1.000000,0.096774,0.176471
Y,2,0.247619,0.251130,0.451327,0.692283,0.000000,0.000000,0.000000
Y,3,0.220964,0.210854,0.575221,0.713789,0.566038,0.967742,0.714286
Y,4,0.201334,0.202185,0.637168,0.681847,0.620690,0.870968,0.724832
Y,5,0.196912,0.203879,0.610619,0.688172,0.595745,0.903226,0.717949
Y,6,0.189124,0.202255,0.681416,0.683112,0.685714,0.774194,0.727273
Y,7,0.179685,0.215476,0.628319,0.678368,0.613636,0.870968,0.720000
Y,8,0.177082,0.213615,0.610619,0.668880,0.604651,0.838710,0.702703
Z,1,0.341645,0.295334,0.548673,0.490512,0.548673,1.000000,0.708571
Z,2,0.261741,0.235647,0.584071,0.677103,0.568807,1.000000,0.725146
Z,3,0.215674,0.225990,0.646018,0.672359,0.648649,0.774194,0.705882
Z,4,0.198005,0.208730,0.584071,0.658444,0.641509,0.548387,0.591304
Z,5,0.193521,0.212493,0.601770,0.648008,0.654545,0.580645,0.615385
Z,6,0.186590,0.218458,0.610619,0.634725,0.640625,0.661290,0.650794
Z,7,0.181319,0.223834,0.592920,0.606578,0.608108,0.725806,0.661765
Z,8,0.180118,0.224062,0.601770,0.598355,0.613333,0.741935,0.671533
